
chunk_size=1024, chunk_len=265, mag_len=271000

1>chunk_idx=0, left_mag_idx=0, right_mag_idx=1023
1>chunk_idx=1, left_mag_idx=1024, right_mag_idx=2047
1>chunk_idx=2, left_mag_idx=2048, right_mag_idx=3071
1>chunk_idx=3, left_mag_idx=3072, right_mag_idx=4095
1>chunk_idx=4, left_mag_idx=4096, right_mag_idx=5119
1>chunk_idx=5, left_mag_idx=5120, right_mag_idx=6143
1>chunk_idx=6, left_mag_idx=6144, right_mag_idx=7167
1>chunk_idx=7, left_mag_idx=7168, right_mag_idx=8191
1>chunk_idx=8, left_mag_idx=8192, right_mag_idx=9215
1>chunk_idx=9, left_mag_idx=9216, right_mag_idx=10239
1>chunk_idx=10, left_mag_idx=10240, right_mag_idx=11263
1>chunk_idx=11, left_mag_idx=11264, right_mag_idx=12287
1>chunk_idx=12, left_mag_idx=12288, right_mag_idx=13311
1>chunk_idx=13, left_mag_idx=13312, right_mag_idx=14335
1>chunk_idx=14, left_mag_idx=14336, right_mag_idx=15359
1>chunk_idx=15, left_mag_idx=15360, right_mag_idx=16383
1>chunk_idx=16, left_mag_idx=16384, right_mag_idx=17407
1>chunk_idx=17, left_mag_idx=17408, right_mag_idx=18431
1>chunk_idx=18, left_mag_idx=18432, right_mag_idx=19455
1>chunk_idx=19, left_mag_idx=19456, right_mag_idx=20479
1>chunk_idx=20, left_mag_idx=20480, right_mag_idx=21503
1>chunk_idx=21, left_mag_idx=21504, right_mag_idx=22527
1>chunk_idx=22, left_mag_idx=22528, right_mag_idx=23551
1>chunk_idx=23, left_mag_idx=23552, right_mag_idx=24575
1>chunk_idx=24, left_mag_idx=24576, right_mag_idx=25599
1>chunk_idx=25, left_mag_idx=25600, right_mag_idx=26623
1>chunk_idx=26, left_mag_idx=26624, right_mag_idx=27647
1>chunk_idx=27, left_mag_idx=27648, right_mag_idx=28671
1>chunk_idx=28, left_mag_idx=28672, right_mag_idx=29695
1>chunk_idx=29, left_mag_idx=29696, right_mag_idx=30719
1>chunk_idx=30, left_mag_idx=30720, right_mag_idx=31743
1>chunk_idx=31, left_mag_idx=31744, right_mag_idx=32767
1>chunk_idx=32, left_mag_idx=32768, right_mag_idx=33791
1>chunk_idx=33, left_mag_idx=33792, right_mag_idx=34815
1>chunk_idx=34, left_mag_idx=34816, right_mag_idx=35839
1>chunk_idx=35, left_mag_idx=35840, right_mag_idx=36863
1>chunk_idx=36, left_mag_idx=36864, right_mag_idx=37887
1>chunk_idx=37, left_mag_idx=37888, right_mag_idx=38911
1>chunk_idx=38, left_mag_idx=38912, right_mag_idx=39935
1>chunk_idx=39, left_mag_idx=39936, right_mag_idx=40959
1>chunk_idx=40, left_mag_idx=40960, right_mag_idx=41983
1>chunk_idx=41, left_mag_idx=41984, right_mag_idx=43007
1>chunk_idx=42, left_mag_idx=43008, right_mag_idx=44031
1>chunk_idx=43, left_mag_idx=44032, right_mag_idx=45055
1>chunk_idx=44, left_mag_idx=45056, right_mag_idx=46079
1>chunk_idx=45, left_mag_idx=46080, right_mag_idx=47103
1>chunk_idx=46, left_mag_idx=47104, right_mag_idx=48127
